iter	RMSE
0	0.2147673923
1	0.1950844012
2	0.1777815797
3	0.1620054229
4	0.1474074268
5	0.1340038189
6	0.1224090673
7	0.1116426459
8	0.1023172099
9	0.09351353283
10	0.08568773254
11	0.07883622268
12	0.07260256804
13	0.06724626347
14	0.06225373084
15	0.05755053284
16	0.05365227988
17	0.05006965886
18	0.04728125186
19	0.04460932573
20	0.0421392405
21	0.04009473162
22	0.03827462518
23	0.03663143561
24	0.03516423641
25	0.03387585849
26	0.03283072014
27	0.0317731245
28	0.03103095355
29	0.03035730296
30	0.02965627519
31	0.02901498844
32	0.02841716608
33	0.02794531283
34	0.02753739545
35	0.02711186994
36	0.02678679606
37	0.02646921182
38	0.02619637106
39	0.025915172
40	0.0257228109
41	0.02550602918
42	0.02520467512
43	0.02500152057
44	0.02484817539
45	0.02468293304
46	0.02447263123
47	0.02434021517
48	0.02421712653
49	0.02408484608
50	0.02395785692
51	0.02385452856
52	0.02370767314
53	0.02358591436
54	0.02350221039
55	0.02340336324
56	0.02328386493
57	0.02317709976
58	0.02304554412
59	0.02288855818
60	0.02278864051
61	0.02272894602
62	0.02262115922
63	0.02254437806
64	0.02249273954
65	0.02236956092
66	0.02228443111
67	0.0221892162
68	0.02212213451
69	0.02202861645
70	0.02195494888
71	0.02187479212
72	0.02177032574
73	0.02170894085
74	0.02158893204
75	0.02154416105
76	0.02143991564
77	0.02130262328
78	0.02121867806
79	0.02112739722
80	0.02108420648
81	0.02097325607
82	0.02089775578
83	0.02084172164
84	0.02080231168
85	0.02070825703
86	0.02061168808
87	0.02054807619
88	0.02046522661
89	0.02036012733
90	0.02028771302
91	0.02022779243
92	0.02014081568
93	0.0200803497
94	0.01998450383
95	0.01991979341
96	0.01984686226
97	0.01974828699
98	0.01966579963
99	0.01960749202
